School ID,School ID,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
610148, CHAVEZ , ISP ,  780 ,  1 ,0.1%,  13 ,1.7%,  - ,0.0%,  4 ,0.5%,  761 ,97.6%,  - ,0.0%,  1 ,0.1%,  - ,0.0%,  - ,0.0%
400022, CHIARTS HS , Contract ,  604 ,  116 ,19.2%,  215 ,35.6%,  - ,0.0%,  3 ,0.5%,  245 ,40.6%,  14 ,2.3%,  10 ,1.7%,  1 ,0.2%,  - ,0.0%
610248, CHICAGO ACADEMY ES , Network 1 ,  559 ,  93 ,16.6%,  17 ,3.0%,  - ,0.0%,  1 ,0.2%,  424 ,75.8%,  12 ,2.1%,  10 ,1.8%,  - ,0.0%,  2 ,0.4%
610340, CHICAGO ACADEMY HS , Network 14 ,  561 ,  89 ,15.9%,  26 ,4.6%,  - ,0.0%,  2 ,0.4%,  428 ,76.3%,  5 ,0.9%,  9 ,1.6%,  2 ,0.4%,  - ,0.0%
609753, CHICAGO AGRICULTURE HS , ISP ,  769 ,  182 ,23.7%,  394 ,51.2%,  - ,0.0%,  1 ,0.1%,  177 ,23.0%,  9 ,1.2%,  5 ,0.7%,  1 ,0.1%,  - ,0.0%
400161, CHICAGO COLLEGIATE , Charter ,  245 ,  - ,0.0%,  239 ,97.6%,  - ,0.0%,  - ,0.0%,  6 ,2.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400147, CHICAGO EXCEL HS , Options ,  267 ,  - ,0.0%,  253 ,94.8%,  - ,0.0%,  1 ,0.4%,  7 ,2.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  6 ,2.2%
400035, CHICAGO MATH & SCIENCE HS , Charter ,  617 ,  38 ,6.2%,  260 ,42.1%,  - ,0.0%,  3 ,0.5%,  242 ,39.2%,  10 ,1.6%,  63 ,10.2%,  1 ,0.2%,  - ,0.0%
609754, CHICAGO MILITARY HS , Network 17 ,  214 ,  3 ,1.4%,  134 ,62.6%,  - ,0.0%,  3 ,1.4%,  73 ,34.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  1 ,0.5%
400091, CHICAGO TECH HS , Contract ,  392 ,  3 ,0.8%,  335 ,85.5%,  - ,0.0%,  - ,0.0%,  50 ,12.8%,  3 ,0.8%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
609674, CHICAGO VOCATIONAL HS , Network 17 ,  575 ,  5 ,0.9%,  537 ,93.4%,  - ,0.0%,  - ,0.0%,  26 ,4.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  7 ,1.2%
